CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2
12/31/2013,14:42,Queens,11358,40.7672226,-73.7936144,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Physical Disability,253861,PASSENGER VEHICLE,PASSENGER VEHICLE
11/30/2013,19:56,Brooklyn,11235,40.5888878,-73.9656409,8.0,1.0,0,0,0,0,8,1,Unspecified,Unspecified,115843,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
11/26/2013,6:19,Queens,11434,40.6596509,-73.7738282,1.0,1.0,0,1,0,0,1,0,Unspecified,,226425,SPORT UTILITY / STATION WAGON,
11/11/2013,12:50,Manhattan,10029,40.79037,-73.9497662,3.0,1.0,0,1,0,0,3,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,57151,VAN,PASSENGER VEHICLE
11/27/2013,17:13,Manhattan,10009,40.7297989,-73.9748013,2.0,1.0,0,1,0,0,2,0,Unspecified,,25414,LARGE COM VEH(6 OR MORE TIRES),
11/30/2013,1:25,Queens,11414,40.6598458,-73.835205,2.0,1.0,0,0,0,0,2,1,Alcohol Involvement,Unspecified,232273,PASSENGER VEHICLE,PASSENGER VEHICLE
11/11/2013,7:26,Queens,11373,40.7369781,-73.8784023,1.0,2.0,0,2,0,0,1,0,Traffic Control Disregarded,Unspecified,258480,PASSENGER VEHICLE,PASSENGER VEHICLE
11/05/2013,11:05,Bronx,10454,40.8080059,-73.9143306,2.0,1.0,0,1,0,0,2,0,Failure to Yield Right-of-Way,,75471,SPORT UTILITY / STATION WAGON,
11/05/2013,1:29,Manhattan,10023,40.7742266,-73.9811136,1.0,1.0,0,0,0,0,1,1,Unspecified,Unspecified,54765,LARGE COM VEH(6 OR MORE TIRES),UNKNOWN
11/02/2013,12:48,Brooklyn,11205,40.6895074,-73.9701325,3.0,1.0,3,1,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,193395,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
10/20/2013,22:15,Brooklyn,11206,40.6957047,-73.9463647,2.0,1.0,0,0,0,0,2,1,Traffic Control Disregarded,Unspecified,181929,PASSENGER VEHICLE,VAN
10/22/2013,4:30,Brooklyn,11236,40.640239,-73.9194608,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Other Vehicular,128796,PASSENGER VEHICLE,PASSENGER VEHICLE
09/14/2013,16:28,Queens,11105,40.782856,-73.9107303,1.0,2.0,0,0,0,0,1,2,Unspecified,Unspecified,277406,MOTORCYCLE,SPORT UTILITY / STATION WAGON
09/15/2013,12:39,Brooklyn,11212,40.6553118,-73.9031775,3.0,1.0,0,0,0,0,3,1,Unspecified,Unspecified,162449,PASSENGER VEHICLE,PASSENGER VEHICLE
08/15/2013,21:10,Brooklyn,11222,40.7351589,-73.9550724,1.0,1.0,0,0,0,0,1,1,Failure to Yield Right-of-Way,Unspecified,200087,PASSENGER VEHICLE,MOTORCYCLE
08/16/2013,4:32,Queens,11385,40.7068736,-73.8591426,1.0,1.0,0,0,0,0,1,1,Unspecified,Unspecified,217328,MOTORCYCLE,PASSENGER VEHICLE
08/14/2013,20:31,Brooklyn,11207,40.6818006,-73.8897736,3.0,1.0,3,0,0,0,0,1,Traffic Control Disregarded,Unspecified,168269,MOTORCYCLE,PASSENGER VEHICLE
